,Year,democracy_index,Incarceration_Rate_Per_100_000,Political_Rights,Civil_Liberties,bicc_gmi,cspf_sfi,gggi_ggi,gpi_conf,gpi_gpi,gpi_mil,gpi_ss,hum_satdem,hum_sti,spi_bn,spi_fob,spi_opp,spi_ospi,undp_hdi,van_part,vdem_gcrrpt,vdem_jucorrdc,wdi_homicidesf,wdi_homicidesm,wdi_inflation,wdi_lfpedubf,wdi_nersf,wdi_nersm,wdi_unempilo,wdi_unempmilo,wdi_unempmne,wdi_unempne,gd_ptsa_1.0,gd_ptsa_2.0,gd_ptsa_3.0,gd_ptsa_4.0,gd_ptsa_5.0,nelda_vcdbe_0.0,nelda_vcdbe_1.0,nelda_vcdbe_3.0,Country_Australia,Country_Austria,Country_Belgium,Country_Canada,Country_Chile,Country_Colombia,Country_Costa Rica,Country_Denmark,Country_Estonia,Country_Finland,Country_France,Country_Germany,Country_Greece,Country_Hungary,Country_Iceland,Country_Ireland,Country_Israel,Country_Italy,Country_Japan,Country_Latvia,Country_Lithuania,Country_Luxembourg,Country_Mexico,Country_Netherlands,Country_New Zealand,Country_Norway,Country_Poland,Country_Portugal,Country_Slovakia,Country_Slovenia,Country_Spain,Country_Sweden,Country_Switzerland,Country_USA,Country_United Kingdom
0,2010,9.22,138.4702606,39,57,143.9948809,2.0,0.727100015,1.168,1.439,1.649,1.541,60.092163,,89.09999847,85.93000031,86.84999847,87.29000092,0.92299998,57.6,3.085,3.49,0.845536413,1.23972892,2.918340027,56.47999954,,,5.210000038,5.070000172,5.070000172,5.210000038,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2011,9.22,130.1872154,39,57,150.6594802,2.0,0.729099989,1.22,1.497,1.713,1.602,,,89.08999634,86.36000061,86.83999634,87.43000031,0.926,57.6,3.085,3.49,0.798455043,1.40242072,3.303850156,56.88999939,,,5.079999924,4.894000053,4.889999866,5.079999924,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2012,9.22,129.2650459,39,57,152.6288366,2.0,0.729399979,1.188,1.451,1.703,1.526,,54.433834,89.26999664,85.72000122,86.79000092,87.26000214,0.93000001,57.6,3.085,3.49,0.724037161,1.398546264,1.762780156,57.88000107,,,5.21999979,5.133999825,5.139999866,5.21999979,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,2013,9.13,133.1485416,39,58,149.7492814,2.0,0.739000022,1.1,1.386,1.658,1.471,61.658882,,89.37999725,85.22000122,86.29000092,86.95999908,0.92900002,61.7,3.088,3.49,0.806874918,1.301160264,2.449888641,44.43000031,,,5.659999847,5.705999851,5.710000038,5.659999847,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2014,9.01,148.0427035,39,58,152.1740367,2.0,0.74089998,1.046,1.359,1.664,1.449,70.27356,52.426468,89.61000061,87.26000214,86.22000122,87.69999695,0.93099999,61.7,3.088,3.49,0.794519036,1.266428618,2.487922705,44.50999832,,,6.079999924,6.001999855,6.0,6.079999924,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,2015,9.01,155.4308665,39,58,153.1264501,2.0,0.73299998,1.041,1.388,1.667,1.518,,,89.55000305,87.25,86.29000092,87.69999695,0.93300003,61.7,3.088,3.49,0.704478537,1.269666585,1.508366722,42.66999817,93.62816,92.86773,6.050000191,6.035999775,6.039999962,6.050000191,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,2016,9.01,164.3639057,40,58,155.7784127,2.0,0.721000016,1.036,1.414,1.63,1.602,55.437176,57.482098,89.34999847,87.70999908,86.58999634,87.87999725,0.935,60.78,3.088,3.49,0.656958679,1.216345298,1.276990945,42.50999832,93.15336,92.40466,5.710000038,5.650000095,5.650000095,5.710000038,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,2017,9.09,171.2786856,40,58,153.1434037,2.0,0.731000006,1.039,1.422,1.691,1.588,,,89.23999786,87.84999847,86.5,87.86000061,0.93699998,60.78,3.201,3.49,0.510494428,1.176120635,1.948647409,42.38000107,92.69355,91.89515,5.590000153,5.519999981,5.519999981,5.590000153,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,2018,9.09,175.9381694,40,58,150.7463822,2.0,0.730000019,1.039,1.427,1.765,1.563,,,89.36000061,87.83000183,87.16999817,88.12000275,0.94099998,60.78,3.201,3.49,0.672065647,1.088764642,1.911400944,36.16999817,,,5.300000191,5.281000137,5.28000021,5.300000191,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,2019,9.09,173.4578425,40,58,150.1248865,,0.731000006,1.097,1.428,1.757,1.528,,,89.51999664,87.75,87.33999634,88.19999695,0.94099998,,3.201,3.49,0.537469148,1.242898053,1.610767873,36.04000092,,,5.159999847,5.210999966,5.210000038,5.159999847,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
