Macrotrends Data Download

Honduras Murder/Homicide Rate 1990-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Per 100K Population, Annual % Change, 
1990-12-31,9.8063
1991-12-31,13.5426,38.1
1992-12-31,17.8699,31.95
1993-12-31,22.7862,27.51
1994-12-31,29.7623,30.62
1995-12-31,26.3899,-11.33
1999-12-31,39.5686,49.94
2000-12-31,47.7111,20.58
2001-12-31,51.0101,6.91
2002-12-31,51.6104,1.18
2003-12-31,56.5547,9.58
2004-12-31,49.2862,-12.85
2005-12-31,42.4609,-13.85
2006-12-31,40.2572,-5.19
2007-12-31,45.2775,12.47
2008-12-31,54.9879,21.45
2009-12-31,63.7889,16.01
2010-12-31,73.7907,15.68
2011-12-31,82.3891,11.65
2012-12-31,81.5708,-0.99
2013-12-31,71.7693,-12.02
2014-12-31,64.5388,-10.07
2015-12-31,55.3876,-14.18
2016-12-31,54.4352,-1.72
2017-12-31,40.1378,-26.26
2018-12-31,38.0992,-5.08
2019-12-31,41.1093,7.9
2020-12-31,35.7942,-12.93
2021-12-31,38.3427,7.12
